Rank,Hotel Name,Sub-Region,Hotel Group,Type,HBS,Rating,Price,Value Score,Guest Score,Location,Amenities
1,"SingleThread Inn","North Bay (Napa, Sonoma, Marin)","Independent","Culinary Destination",100,5,1800,0,100,88,100
2,"Auberge du Soleil","North Bay (Napa, Sonoma, Marin)","Auberge Resorts","Luxury Resort",99.4,5,1500,21,98,97,98
3,"Four Seasons Resort Napa Valley","North Bay (Napa, Sonoma, Marin)","Four Seasons","Luxury Resort",99.1,5,1600,14,98,85,98
4,"Rosewood Sand Hill","Silicon Valley","Rosewood","Luxury Resort",98.9,5,1200,36,98,85,98
5,"The Clement Hotel - All Inclusive","Silicon Valley","Independent","All-Inclusive",98.8,5,1100,43,96,80,95
6,"Bardessono Hotel and Spa","North Bay (Napa, Sonoma, Marin)","Independent","Luxury Spa",98.1,5,1300,29,96,94,96
7,"Montage Healdsburg","North Bay (Napa, Sonoma, Marin)","Montage","Luxury Resort",97.8,5,1400,21,96,78,96
8,"Las Alcobas, a Luxury Collection Hotel, Napa Valley","North Bay (Napa, Sonoma, Marin)","Marriott","Historic Luxury",96.5,4.5,1200,36,94,88,93
9,"Solage, Auberge Resorts Collection","North Bay (Napa, Sonoma, Marin)","Auberge Resorts","Luxury Resort",96.2,4.5,1100,43,94,83,95
10,"The Ritz-Carlton, San Francisco","San Francisco","Marriott","Luxury",95.8,4.5,750,61,96,88,85
11,"Hotel Drisco","San Francisco","Independent","Boutique Luxury",95.2,4.5,600,71,98,80,73
12,"The St. Regis San Francisco","San Francisco","Marriott","Luxury",94.9,4.5,800,57,94,97,91
13,"Four Seasons Hotel Silicon Valley","Silicon Valley","Four Seasons","Luxury",94.5,4.5,950,50,92,70,93
14,"The Lodge at Bodega Bay","North Bay (Napa, Sonoma, Marin)","Woodside Hotels","Coastal Luxury",94.1,4.5,700,64,94,91,89
15,"Cavallo Point","North Bay (Napa, Sonoma, Marin)","Independent","Historic Resort",94,4.5,800,57,92,100,91
16,"Claremont Club & Spa, A Fairmont Hotel","East Bay","Accor","Historic Resort",93.8,4.5,600,71,88,75,96
17,"Nobu Hotel Palo Alto","Silicon Valley","Nobu Hospitality","Luxury",93.5,4.5,850,54,90,83,82
18,"MacArthur Place Hotel & Spa","North Bay (Napa, Sonoma, Marin)","Independent","Boutique Luxury",93.2,4.5,900,50,92,80,89
19,"Fairmont San Francisco","San Francisco","Accor","Luxury",92.9,4.5,650,68,90,91,82
20,"Hotel Healdsburg","North Bay (Napa, Sonoma, Marin)","Piazza Hospitality","Boutique Luxury",92.5,4.5,850,54,90,91,87
21,"1 Hotel San Francisco","San Francisco","SH Hotels & Resorts","Luxury",92.1,4.5,680,66,88,83,84
22,"Hotel Yountville","North Bay (Napa, Sonoma, Marin)","Independent","Boutique Luxury",91.8,4.5,950,50,88,94,84
23,"Shashi Hotel Mountain View","Silicon Valley","Independent","Boutique Luxury",91.5,4.5,530,76,86,60,84
24,"Lafayette Park Hotel & Spa","East Bay","Independent","Boutique",91.2,4.5,450,82,86,63,85
25,"The Madrona","North Bay (Napa, Sonoma, Marin)","Independent","Historic Boutique",90.9,4.5,750,61,92,75,85
26,"Palace Hotel","San Francisco","Marriott","Historic Luxury",90.6,4,550,75,84,85,78
27,"Hotel Valencia Santana Row","Silicon Valley","Valencia Hotel Group","Boutique",90.3,4,550,75,84,88,78
28,"Hotel Vitale","San Francisco","Hyatt","Boutique Luxury",90.1,4,530,76,82,80,80
29,"Archer Hotel Napa","North Bay (Napa, Sonoma, Marin)","LodgeWorks","Rooftop",89.8,4,750,61,82,85,85
30,"Signia by Hilton San Jose","Silicon Valley","Hilton","Business",89.5,4,520,77,76,75,78
31,"The Ameswell Hotel","Silicon Valley","Independent","Boutique",89.2,4,480,80,80,68,80
32,"Hotel Nikko San Francisco","San Francisco","Nikko Hotels","Luxury",88.9,4,470,81,80,91,82
33,"W San Francisco","San Francisco","Marriott","Boutique",88.6,4,520,77,78,97,76
34,"el Prado Hotel","Silicon Valley","Independent","Boutique",88.3,4,600,71,82,80,73
35,"Kissel Uptown Oakland","East Bay","Hyatt","Boutique",88,4,420,84,78,80,71
36,"TETRA Hotel, Autograph Collection","Silicon Valley","Marriott","Business",87.7,4,500,79,78,73,76
37,"Hotel Shattuck Plaza","East Bay","Independent","Historic",87.4,4,380,87,80,88,65
38,"The Rose Hotel","East Bay","Independent","Boutique",87.1,4,400,86,90,55,73
39,"Kimpton Alton Fisherman's Wharf","San Francisco","IHG","Family-Friendly",86.8,4,420,84,82,70,80
40,"Luma Hotel San Francisco","San Francisco","TBC Hotels","Boutique",86.5,4,460,81,84,65,78
41,"The LINE SF","San Francisco","Sydwell Group","Boutique",86.2,4,470,81,82,60,76
42,"Grand Hyatt San Francisco","San Francisco","Hyatt","Business",85.9,4,500,79,76,97,76
43,"San Francisco Marriott Marquis","San Francisco","Marriott","Business",85.6,4,510,78,70,94,78
44,"The Westin St. Francis San Francisco on Union Square","San Francisco","Marriott","Historic",85.3,4,490,79,72,100,74
45,"Hyatt Regency San Francisco","San Francisco","Hyatt","Business",85,4,480,80,74,83,73
46,"The Westin Palo Alto","Silicon Valley","Marriott","Business",84.7,3.5,490,79,74,78,73
47,"Hotel De Anza","Silicon Valley","Hyatt","Historic",84.4,3.5,410,85,78,73,68
48,"Clancy, Autograph Collection","San Francisco","Marriott","Boutique",84.1,3.5,440,83,78,88,70
49,"Hyatt Regency Santa Clara","Silicon Valley","Hyatt","Family-Friendly",83.8,3.5,450,82,72,63,71
