"Card Name","Issuer","Annual Fee","Sign-Up Bonus","Primary Objective","Key Feature","Redemption Value","Co-Branded Partner","Chicardgo Rating"
"AAdvantage® Aviator® Red World Elite Mastercard®","Barclays",99,"50,000 AAdvantage® bonus miles after first purchase and paying the annual fee.","travel","2x miles on American Airlines purchases.","~1.5¢ / point (AAdvantage)","American Airlines",3.5
"AAdvantage® Aviator® Silver World Elite Mastercard®","Barclays",199,"N/A (Upgrade only)","travel","3x miles on American Airlines purchases.","~1.5¢ / point (AAdvantage)","American Airlines",3.5
"AAdvantage® Aviator® Blue Mastercard®","Barclays",49,"N/A (Downgrade only)","travel","2x miles on American Airlines purchases.","~1.5¢ / point (AAdvantage)","American Airlines",3
"AAdvantage® Aviator® Mastercard®","Barclays",0,"N/A","travel","1x mile on all purchases.","~1.5¢ / point (AAdvantage)","American Airlines",2.5
"Citi® / AAdvantage® Executive World Elite Mastercard®","Citi",595,"70,000 AAdvantage® bonus miles after a qualifying spend.","travel","Admirals Club® membership and priority check-in.","~1.5¢ / point (AAdvantage)","American Airlines",4
"American Airlines AAdvantage® MileUp® Card","Citi",0,"10,000 AAdvantage® bonus miles and a $50 statement credit.","travel","2x miles on American Airlines purchases and at grocery stores.","~1.5¢ / point (AAdvantage)","American Airlines",3
"American Express® Gold Card","American Express",325,"As high as 100,000 Membership Rewards® points after $6,000 spend in 6 months (offer may vary).","travel","4x points on dining worldwide and at U.S. supermarkets.","~2.0¢ / point (via transfer partners)","",4.5
"American Express® Green Card","American Express",150,"40,000 Membership Rewards® points after $3,000 spend in 6 months.","travel","3x points on travel, transit, and dining.","~2.0¢ / point (via transfer partners)","",4
"Amex EveryDay® Credit Card","American Express",0,"10,000 Membership Rewards® points after $2,000 spend in 3 months.","travel","2x points at U.S. supermarkets, plus a 20% point bonus.","~2.0¢ / point (via transfer partners)","",3.5
"Amex EveryDay® Preferred Credit Card","American Express",95,"15,000 Membership Rewards® points after $2,000 spend in 3 months.","travel","3x points at U.S. supermarkets, 2x at U.S. gas stations, and a 50% point bonus.","~2.0¢ / point (via transfer partners)","",4
"The Platinum Card® from American Express","American Express",695,"80,000 Membership Rewards® points after $8,000 spend in 6 months.","travel","Unparalleled airport lounge access and a suite of luxury travel credits.","~2.0¢ / point (via transfer partners)","",4.5
"Blue Cash Everyday® Card from American Express","American Express",0,"$200 statement credit after $2,000 spend in 6 months.","cash-back","3% cash back on groceries, gas, and online retail purchases.","1.0¢ / point (Cash Back)","",4
