Rank,Hotel Name,Sub-Region,Hotel Group,Type,HBS,Rating,Price,Value Score,Guest Score,Location,Amenities
1,"The Jefferson, Washington, DC","Dupont Circle & West End","Independent","Iconic Luxury",100,5,850,22,98,97,96
2,"Four Seasons Hotel Washington, D.C.","Georgetown","Four Seasons","Luxury",99.8,5,1200,0,98,97,98
3,"Rosewood Washington, D.C.","Georgetown","Rosewood","Luxury",99.1,5,1100,11,97,98,96
4,"The Hay-Adams","Downtown & Penn Quarter","Independent","Iconic Luxury",98.9,5,950,16,98,100,97
5,"The St. Regis Washington, D.C.","Downtown & Penn Quarter","Marriott","Luxury",98.2,5,900,21,96,98,95
6,"Pendry Washington DC - The Wharf","The Wharf & Capitol Riverfront","Pendry","Waterfront Luxury",97.6,5,850,22,96,98,96
7,"Salamander Washington DC","Other D.C. Neighborhoods","Salamander","Luxury",97,5,800,26,95,91,97
8,"The Ritz-Carlton, Georgetown","Georgetown","Marriott","Luxury",96.4,4.5,980,13,96,96,95
9,"InterContinental Washington D.C. - The Wharf","The Wharf & Capitol Riverfront","IHG","Waterfront Luxury",95.8,4.5,750,32,94,98,95
10,"Conrad Washington, DC","Downtown & Penn Quarter","Hilton","Luxury",95.2,4.5,750,32,94,96,94
11,"Park Hyatt Washington D.C.","Dupont Circle & West End","Hyatt","Luxury",94.6,4.5,720,35,94,96,94
12,"The Willard InterContinental","Downtown & Penn Quarter","IHG","Iconic Luxury",94.1,4.5,800,26,95,100,96
13,"Sofitel Washington DC Lafayette Square","Other D.C. Neighborhoods","Accor","Luxury",93.5,4.5,690,38,93,99,92
14,"Fairmont Washington, D.C., Georgetown","Dupont Circle & West End","Accor","Luxury",93.2,4.5,700,37,92,95,93
15,"The Watergate Hotel","Other D.C. Neighborhoods","Independent","Historic Luxury",92.9,4.5,680,39,90,93,94
16,"Thompson Washington D.C.","The Wharf & Capitol Riverfront","Hyatt","Boutique",92.6,4.5,600,47,93,94,90
17,"The Dupont Circle Hotel","Dupont Circle & West End","Doyle Collection","Boutique",92.3,4.5,650,42,93,98,91
18,"Hotel Washington","Downtown & Penn Quarter","Independent","Boutique",92.1,4.5,620,45,92,100,91
