Field Name,Description,Type,Example
School Name,"Name of the high school",String,"Lexington High School"
District,"School district the high school belongs to",String,"Lexington Public Schools"
T25,"Percentage of graduates attending a Top 25 National University",Number,22
T15LAC,"Percentage of graduates attending a Top 15 Liberal Arts College",Number,11
MAPower,"Percentage of graduates attending Boston University, Boston College, Northeastern, Tufts, or UMass Amherst",Number,40
StatePath,"Percentage of graduates attending other MA state universities and community colleges",Number,5
Readiness,"College Readiness Score, on a 10-point scale",Number,9.7
classSize,"Approximate number of students in a graduating class",Number,580
topD,"Top 10 university destinations for graduates, with estimated number of students (c) attending each university (n)",String,"[{'n': 'UMass Amherst', 'c': 45}, ...]"
scaled_T25,"T25 matriculation percentage, scaled from 0-100 relative to other schools in the dataset",Number,91
scaled_T15LAC,"T15LAC matriculation percentage, scaled from 0-100 relative to other schools in the dataset",Number,73
scaled_MAPower,"MA Powerhouse matriculation percentage, scaled from 0-100 relative to other schools in the dataset",Number,83
scaled_StatePath,"State & Community College Pathway percentage, scaled from 0-100 relative to other schools in the dataset",Number,0
scaled_Readiness,"Readiness score, scaled from 0-100 relative to other schools in the dataset",Number,96
ecpi,"Elite College Placement Index score, a weighted and mean-adjusted score from 0-100",Number,91.85
rank,"Overall rank based on the ECPI score",Number,2
